City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chokurdakh,RU,2020-02-19 23:33:28,70.63,147.92,-11.27,90,79,6.31
1,Te Anau,NZ,2020-02-19 23:33:28,-45.42,167.72,55.45,72,100,2.51
2,Djenne,ML,2020-02-19 23:33:29,13.91,-4.55,76.32,11,17,8.01
3,Puerto Ayora,EC,2020-02-19 23:33:29,-0.74,-90.35,87.8,62,20,9.17
4,Kieta,PG,2020-02-19 23:33:29,-6.22,155.63,84.25,70,4,9.24
5,Mataura,NZ,2020-02-19 23:33:29,-46.19,168.86,66.0,73,100,7.0
6,Nikolskoye,RU,2020-02-19 23:33:30,59.7,30.79,36.0,93,75,6.71
7,Ponta Delgada,PT,2020-02-19 23:33:30,37.73,-25.67,57.2,82,20,20.8
8,Mar Del Plata,AR,2020-02-19 23:33:30,-38.0,-57.56,66.2,82,90,11.41
9,Petropavlovka,RU,2020-02-19 23:33:30,50.61,105.32,3.87,92,100,4.29
10,Salalah,OM,2020-02-19 23:31:57,17.02,54.09,75.2,73,75,4.7
11,Valdivia,CL,2020-02-19 23:33:31,-39.81,-73.25,66.2,37,0,10.29
12,Hilo,US,2020-02-19 23:33:31,19.73,-155.09,75.99,69,90,11.41
13,Butaritari,KI,2020-02-19 23:33:31,3.07,172.79,84.49,78,48,16.53
14,Jamestown,US,2020-02-19 23:32:51,42.1,-79.24,26.01,73,75,9.17
15,Puro,PH,2020-02-19 23:33:32,12.48,123.38,77.5,77,68,18.66
16,Tazovskiy,RU,2020-02-19 23:33:32,67.47,78.7,27.45,97,100,5.55
17,Pevek,RU,2020-02-19 23:33:32,69.7,170.31,-17.68,98,100,5.88
18,Dikson,RU,2020-02-19 23:33:32,73.51,80.55,19.2,94,100,15.82
19,Taoudenni,ML,2020-02-19 23:33:33,22.68,-3.98,70.03,12,37,10.25
20,Khatanga,RU,2020-02-19 23:33:33,71.97,102.5,-12.89,85,0,2.75
21,Provideniya,RU,2020-02-19 23:33:33,64.38,-173.3,3.2,71,100,8.95
22,Rock Sound,BS,2020-02-19 23:33:33,24.9,-76.2,75.99,85,11,13.94
23,Hermanus,ZA,2020-02-19 23:33:33,-34.42,19.23,68.0,95,0,1.99
24,Sisimiut,GL,2020-02-19 23:33:34,66.94,-53.67,-8.68,85,71,5.97
25,Longyearbyen,SJ,2020-02-19 23:33:34,78.22,15.64,8.6,65,75,26.4
26,Punta Arenas,CL,2020-02-19 23:31:12,-53.15,-70.92,50.0,66,40,23.04
27,Kaitangata,NZ,2020-02-19 23:33:34,-46.28,169.85,62.01,82,83,11.99
28,Busselton,AU,2020-02-19 23:33:34,-33.65,115.33,72.0,41,0,16.64
29,Kirkenes,NO,2020-02-19 23:33:35,69.73,30.05,15.8,72,14,23.04
30,Castro,BR,2020-02-19 23:33:35,-24.79,-50.01,67.39,97,98,3.62
31,Tiksi,RU,2020-02-19 23:33:35,71.69,128.87,-4.65,85,100,7.78
32,Saskylakh,RU,2020-02-19 23:33:35,71.92,114.08,-7.98,99,0,6.76
33,Albany,US,2020-02-19 23:29:00,42.6,-73.97,32.0,67,75,14.99
34,Orcopampa,PE,2020-02-19 23:33:36,-15.27,-72.34,40.15,88,98,4.83
35,Floro,NO,2020-02-19 23:29:15,61.6,5.03,42.01,69,90,25.28
36,Mitsamiouli,KM,2020-02-19 23:33:36,-11.38,43.28,80.6,88,40,4.7
37,Lima,PE,2020-02-19 23:30:21,-12.04,-77.03,75.2,83,75,13.87
38,Fairbanks,US,2020-02-19 23:30:31,64.84,-147.72,19.0,78,90,3.04
39,Henties Bay,NA,2020-02-19 23:33:37,-22.12,14.28,64.99,91,93,3.74
40,Tecoanapa,MX,2020-02-19 23:33:37,16.52,-98.75,87.15,35,0,6.53
41,Thompson,CA,2020-02-19 23:32:28,55.74,-97.86,8.6,50,75,10.29
42,Bathsheba,BB,2020-02-19 23:33:38,13.22,-59.52,73.4,83,90,19.46
43,Yaya,RU,2020-02-19 23:33:38,56.21,86.44,24.22,92,96,9.84
44,Ilulissat,GL,2020-02-19 23:33:38,69.22,-51.1,3.2,71,100,3.36
45,Raga,SS,2020-02-19 23:33:38,8.46,25.68,70.72,27,0,3.49
46,Ushuaia,AR,2020-02-19 23:32:00,-54.8,-68.3,48.2,81,75,21.92
47,Port Alfred,ZA,2020-02-19 23:33:39,-33.59,26.89,66.0,93,3,1.01
48,Moose Factory,CA,2020-02-19 23:33:39,51.26,-80.61,-7.6,57,1,11.41
49,Saint George,US,2020-02-19 23:30:05,37.1,-113.58,59.0,19,1,4.76
50,Port Elizabeth,ZA,2020-02-19 23:33:39,-33.92,25.57,66.2,93,65,4.7
51,Noshiro,JP,2020-02-19 23:33:40,40.2,140.02,32.0,100,75,9.08
52,Guican,CO,2020-02-19 23:33:40,6.46,-72.41,52.36,84,56,3.78
53,Ribeira Grande,PT,2020-02-19 23:33:40,38.52,-28.7,51.03,73,25,20.6
54,Qaanaaq,GL,2020-02-19 23:33:41,77.48,-69.36,-11.4,52,0,5.08
55,Bredasdorp,ZA,2020-02-19 23:33:41,-34.53,20.04,69.8,83,13,12.75
56,Capitan Bado,PY,2020-02-19 23:33:41,-23.27,-55.53,78.44,83,95,0.74
57,Shieli,KZ,2020-02-19 23:33:41,44.17,66.75,30.7,48,0,6.96
58,Poltavskaya,RU,2020-02-19 23:33:42,45.36,38.22,34.0,100,100,3.91
59,Channel-Port Aux Basques,CA,2020-02-19 23:33:42,47.57,-59.14,27.84,73,69,35.23
60,Santiago De Chuco,PE,2020-02-19 23:33:42,-8.15,-78.18,50.14,86,67,0.87
61,Hithadhoo,MV,2020-02-19 23:33:43,-0.6,73.08,82.9,80,99,17.54
62,Xichang,CN,2020-02-19 23:33:43,27.9,102.26,32.27,92,0,2.59
63,Faanui,PF,2020-02-19 23:33:43,-16.48,-151.75,83.55,73,100,17.29
64,Georgetown,MY,2020-02-19 23:33:43,5.41,100.34,78.8,88,20,5.82
65,Mahebourg,MU,2020-02-19 23:33:43,-20.41,57.7,77.0,78,40,10.74
66,Saint-Philippe,RE,2020-02-19 23:33:44,-21.36,55.77,75.2,64,20,4.7
67,Norman Wells,CA,2020-02-19 23:33:44,65.28,-126.83,8.6,71,75,9.17
68,Mount Isa,AU,2020-02-19 23:33:44,-20.73,139.5,84.2,18,15,8.05
69,Kodiak,US,2020-02-19 23:33:45,57.79,-152.41,33.8,55,75,5.82
70,San Cristobal,VE,2020-02-19 23:33:45,7.77,-72.22,87.8,55,40,8.05
71,San Patricio,MX,2020-02-19 23:33:45,19.22,-104.7,86.0,70,40,11.41
72,Kaduna,NG,2020-02-19 23:33:46,10.52,7.44,71.08,19,0,9.08
73,Taltal,CL,2020-02-19 23:33:46,-25.4,-70.48,63.03,84,100,2.53
74,Yellowknife,CA,2020-02-19 23:30:21,62.46,-114.35,3.2,77,75,14.99
75,Guerrero Negro,MX,2020-02-19 23:33:46,27.98,-114.06,66.16,57,0,13.65
76,Atuona,PF,2020-02-19 23:33:46,-9.8,-139.03,82.08,77,94,17.38
77,Grand Gaube,MU,2020-02-19 23:33:47,-20.01,57.66,77.0,78,40,14.23
78,Cape Town,ZA,2020-02-19 23:30:18,-33.93,18.42,71.01,94,75,16.11
79,Teya,RU,2020-02-19 23:33:47,60.38,92.63,14.81,91,100,6.93
80,Arraial Do Cabo,BR,2020-02-19 23:33:47,-22.97,-42.03,78.8,78,65,13.87
81,Korla,CN,2020-02-19 23:33:47,41.76,86.15,28.0,88,100,4.14
82,Namatanai,PG,2020-02-19 23:33:48,-3.67,152.43,82.67,76,10,13.69
83,Broome,US,2020-02-19 23:33:48,42.25,-75.83,27.0,73,90,10.29
84,Saint Anthony,US,2020-02-19 23:33:48,45.02,-93.22,12.2,43,1,9.17
85,Port-Cartier,CA,2020-02-19 23:33:48,50.03,-66.87,12.2,51,40,24.16
86,Bundaberg,AU,2020-02-19 23:31:03,-24.85,152.35,91.0,66,0,10.29
87,Barrow,US,2020-02-19 23:33:49,71.29,-156.79,-5.8,83,90,5.82
88,Alamos,MX,2020-02-19 23:31:07,27.02,-108.93,80.01,60,96,4.0
89,Hobart,AU,2020-02-19 23:30:54,-42.88,147.33,62.01,55,40,14.99
90,Komsomolskiy,UZ,2020-02-19 23:33:49,40.43,71.72,28.4,86,0,4.7
91,Carnarvon,AU,2020-02-19 23:33:50,-24.87,113.63,80.6,69,40,15.95
92,Edd,ER,2020-02-19 23:33:50,13.93,41.69,76.21,73,0,10.02
93,Nichinan,JP,2020-02-19 23:33:50,31.6,131.37,44.6,81,75,6.93
94,Khovu-Aksy,RU,2020-02-19 23:33:50,51.13,93.6,0.3,82,100,7.2
95,Tabuk,PH,2020-02-19 23:33:51,17.42,121.44,65.79,82,24,4.05
96,Robinson,US,2020-02-19 23:33:51,31.47,-97.11,46.99,93,90,10.29
97,Lahij,YE,2020-02-19 23:33:51,13.17,44.58,70.88,76,0,7.63
98,Bluff,NZ,2020-02-19 23:33:52,-46.6,168.33,66.0,73,92,7.0
99,Bardiyah,LY,2020-02-19 23:33:52,31.76,25.09,57.61,77,32,11.95
100,Cidreira,BR,2020-02-19 23:33:52,-30.18,-50.21,75.47,76,47,11.65
101,Ofunato,JP,2020-02-19 23:33:53,39.07,141.72,35.6,58,75,2.24
102,Bambous Virieux,MU,2020-02-19 23:33:53,-20.34,57.76,77.0,78,40,14.72
103,Dera Ghazi Khan,PK,2020-02-19 23:33:53,30.06,70.63,60.49,46,0,15.61
104,Opotiki,NZ,2020-02-19 23:33:53,-38.08,177.28,91.99,70,75,5.99
105,Kapaa,US,2020-02-19 23:33:53,22.08,-159.32,80.6,94,90,23.04
106,Airai,TL,2020-02-19 23:33:54,-8.93,125.41,75.47,75,97,2.26
107,Avarua,CK,2020-02-19 23:29:34,-21.21,-159.78,78.8,94,100,11.41
